34,178,15,16,25,26,22,47,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codominant,data,,CHE1,CHE2,MON1,COR,GUI,AZN1,AZN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individuo,Pop,FamC2Ba,FamC2Bb,Fam587a,Fam587b,VicYESa,VicYESb,VicFG7a,VicFG7b,NedWE1a,NedWE1b,Ned121a,Ned121b,FamT2Na,FamT2Nb,FamXAFa,FamXAFb,Vic147a,Vic147b,NedODDa,NedODDb,NedMIWa,NedMIWb,PetGVBa,PetGVBb,FamPM5a,FamPM5b,FamQ9Da,FamQ9Db,Vic468a,Vic468b,Ned7LFa,Ned7LFb,PetQWBa,PetQWBb,PetQWVa,PetQWVb,FamPUIa,FamPUIb,Vic222a,Vic222b,NedEZEa,NedEZEb,PetSGUa,PetSGUb,Pet8RAa,Pet8RAb,PetORPa,PetORPb,PetBI5a,PetBI5b,Ned130a,Ned130b,Fam829a,Fam829b,Fam677a,Fam677b,Fam84Pa,Fam84Pb,FamWMUa,FamWMUb,FamL7Za,FamL7Zb,PetUAXa,PetUAXb,Fam932a,Fam932b,Vic192a,Vic192b
CHE101,CHE1,171,171,345,345,110,110,469,469,237,237,392,392,156,156,321,321,154,154,145,145,262,262,117,117,288,288,342,342,469,469,244,244,119,119,181,181,318,318,334,336,153,160,128,128,154,154,177,177,231,231,292,292,342,342,131,131,245,245,401,401,375,375,182,182,158,158,305,305
CHE102,CHE1,171,171,345,345,110,110,469,469,237,237,392,392,156,156,321,321,154,154,145,145,262,262,117,117,288,288,342,342,469,469,244,244,119,119,181,181,318,318,334,336,153,160,128,128,154,154,177,177,231,231,292,292,342,342,131,131,245,245,401,401,375,375,182,182,158,158,305,305
CHE103,CHE1,171,171,345,345,110,110,469,469,237,237,392,392,156,156,321,321,154,154,145,145,262,262,117,117,288,288,342,342,469,469,244,244,119,119,181,181,318,318,334,334,153,160,128,128,154,154,177,177,231,231,292,292,342,342,131,131,245,245,401,401,375,375,182,182,158,158,305,305
CHE104,CHE1,171,171,345,345,110,110,469,469,229,229,392,392,156,156,321,321,144,144,145,145,262,262,135,135,282,282,342,342,469,469,226,244,119,119,181,181,318,318,334,334,153,160,128,128,154,154,177,177,231,231,292,292,338,342,139,139,245,245,403,403,375,375,182,182,158,158,305,305
CHE105,CHE1,171,171,345,345,110,110,469,469,237,237,392,392,156,156,321,321,154,154,145,145,262,262,117,117,288,288,342,342,469,469,244,244,119,119,181,181,318,318,334,334,153,160,128,128,154,154,177,177,231,231,292,292,342,342,139,139,245,245,401,401,373,375,182,182,158,158,305,305
CHE106,CHE1,171,171,345,345,110,110,469,469,237,237,392,392,156,156,321,321,154,154,145,145,262,262,117,117,288,288,342,342,469,469,244,244,119,119,181,181,318,318,334,334,153,160,128,128,154,154,177,177,231,231,292,292,342,342,139,139,245,245,401,401,373,375,182,182,158,158,305,305
CHE107,CHE1,171,171,345,345,110,110,469,469,237,237,392,392,156,156,321,321,154,154,145,145,262,262,117,117,288,288,342,342,469,469,244,244,119,119,181,181,318,318,334,334,153,160,128,128,154,154,177,177,231,231,292,292,342,342,139,139,245,245,401,401,373,373,182,182,158,158,305,305
CHE108,CHE1,171,171,345,345,110,110,469,469,237,237,392,392,156,156,321,321,154,154,145,145,262,262,117,117,288,288,342,342,469,469,244,244,119,119,181,181,318,318,334,334,153,160,128,128,154,154,177,177,231,231,292,292,342,342,139,139,245,245,401,401,373,375,182,182,158,158,305,305
CHE109,CHE1,171,171,345,345,110,110,469,469,237,237,392,392,156,156,321,321,154,154,145,145,262,262,117,117,288,288,342,342,469,469,244,244,119,119,181,181,318,318,334,334,153,160,128,128,154,154,177,177,231,231,292,292,342,342,139,139,245,245,401,401,373,373,182,182,158,158,305,305
CHE110,CHE1,171,171,345,345,110,110,469,469,237,237,392,392,156,156,321,321,154,154,145,145,262,262,117,117,288,288,342,342,469,469,244,244,119,119,181,181,318,318,334,334,153,160,128,128,154,154,177,177,231,231,292,292,342,342,139,139,245,245,401,401,373,375,182,182,158,158,305,305
